id,user_id,step_id,kp,score,comment,ai_score,created_at
97,9d1e7339-7eef-4052-9a76-815e5205c335,s7,KP041,5.0,,0.0,2026-02-23T21:39:48.176478
98,9d1e7339-7eef-4052-9a76-815e5205c335,s7,KP043,5.0,,0.0,2026-02-23T21:39:48.176478
99,9d1e7339-7eef-4052-9a76-815e5205c335,s7,KP042,4.0,,0.0,2026-02-23T21:39:48.176478
100,9d1e7339-7eef-4052-9a76-815e5205c335,s7,KP030,5.0,,0.0,2026-02-23T21:39:48.176478
101,9d1e7339-7eef-4052-9a76-815e5205c335,s7,KP044,4.0,,0.0,2026-02-23T21:42:03.430717
102,9d1e7339-7eef-4052-9a76-815e5205c335,s7,KP042,4.0,,0.0,2026-02-23T21:42:03.430717
103,9d1e7339-7eef-4052-9a76-815e5205c335,s7,KP037,3.0,,0.0,2026-02-23T21:42:03.430717
104,9d1e7339-7eef-4052-9a76-815e5205c335,s7,KP038,3.0,,0.0,2026-02-23T21:42:03.430717
105,9d1e7339-7eef-4052-9a76-815e5205c335,s7,KP020,4.0,,0.0,2026-02-23T21:42:03.430717
106,9d1e7339-7eef-4052-9a76-815e5205c335,s8,KP050,4.0,,0.0,2026-02-23T22:00:58.891546
107,9d1e7339-7eef-4052-9a76-815e5205c335,s8,KP051,5.0,,0.0,2026-02-23T22:00:58.891546
108,9d1e7339-7eef-4052-9a76-815e5205c335,s8,KP052,3.0,,0.0,2026-02-23T22:00:58.891546
109,9d1e7339-7eef-4052-9a76-815e5205c335,s8,KP057,4.0,,0.0,2026-02-23T22:00:58.891546
110,9d1e7339-7eef-4052-9a76-815e5205c335,s8,KP011,4.0,,0.0,2026-02-23T22:00:58.891546
111,9d1e7339-7eef-4052-9a76-815e5205c335,s8,KP015,4.0,,0.0,2026-02-23T22:00:58.891546
112,9d1e7339-7eef-4052-9a76-815e5205c335,s8,KP059,4.0,,0.0,2026-02-23T22:00:58.891546
113,9d1e7339-7eef-4052-9a76-815e5205c335,s8,KP060,5.0,,0.0,2026-02-23T22:00:58.891546
114,9d1e7339-7eef-4052-9a76-815e5205c335,s8,KP061,3.0,,0.0,2026-02-23T22:00:58.891546
115,9d1e7339-7eef-4052-9a76-815e5205c335,s8,KP068,4.0,,0.0,2026-02-23T22:00:58.891546
116,9d1e7339-7eef-4052-9a76-815e5205c335,s9,KP056,3.0,,0.0,2026-02-23T22:26:39.991384
117,9d1e7339-7eef-4052-9a76-815e5205c335,s9,KP058,4.0,,0.0,2026-02-23T22:26:39.991384
118,9d1e7339-7eef-4052-9a76-815e5205c335,s9,KP043,5.0,,0.0,2026-02-23T22:26:39.991384
119,9d1e7339-7eef-4052-9a76-815e5205c335,s9,KP031,4.0,,0.0,2026-02-23T22:26:39.991384
120,9d1e7339-7eef-4052-9a76-815e5205c335,s9,KP064,5.0,,0.0,2026-02-23T22:26:39.991384
121,9d1e7339-7eef-4052-9a76-815e5205c335,s9,KP067,4.0,,0.0,2026-02-23T22:26:39.991384
122,9d1e7339-7eef-4052-9a76-815e5205c335,s9,KP044,5.0,,0.0,2026-02-23T22:26:39.991384
123,9d1e7339-7eef-4052-9a76-815e5205c335,s9,KP056,3.0,,0.0,2026-02-23T22:34:18.202883
124,9d1e7339-7eef-4052-9a76-815e5205c335,s9,KP058,4.0,,0.0,2026-02-23T22:34:18.202883
125,9d1e7339-7eef-4052-9a76-815e5205c335,s9,KP043,5.0,,0.0,2026-02-23T22:34:18.202883
126,9d1e7339-7eef-4052-9a76-815e5205c335,s9,KP031,4.0,,0.0,2026-02-23T22:34:18.202883
127,9d1e7339-7eef-4052-9a76-815e5205c335,s9,KP064,5.0,,0.0,2026-02-23T22:34:18.202883
128,9d1e7339-7eef-4052-9a76-815e5205c335,s9,KP067,4.0,,0.0,2026-02-23T22:34:18.202883
129,9d1e7339-7eef-4052-9a76-815e5205c335,s9,KP044,5.0,,0.0,2026-02-23T22:34:18.202883
